City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-2.42,85,47,5.42,GS,1686513999
1,lihue,21.9789,-159.3672,27.58,72,20,5.66,US,1686513216
2,bredasdorp,-34.5322,20.0403,13.51,88,100,4.22,ZA,1686513967
3,bethel,41.3712,-73.414,27.05,49,0,4.12,US,1686513804
4,isafjordur,66.0755,-23.124,9.52,64,12,8.6,IS,1686513999
5,alaior,39.9303,4.1404,21.86,94,0,2.57,ES,1686513999
6,port-aux-francais,-49.35,70.2167,5.41,87,100,18.55,TF,1686513852
7,arraial do cabo,-22.9661,-42.0278,29.98,61,0,2.57,BR,1686513419
8,dudinka,69.4058,86.1778,8.68,49,100,7.07,RU,1686513400
9,namibe,-15.1961,12.1522,19.03,73,65,3.86,AO,1686513999
10,west island,-12.1568,96.8225,25.99,73,40,10.63,CC,1686513932
11,olonkinbyen,70.9221,-8.7187,1.51,92,100,6.36,SJ,1686514000
12,carnarvon,-24.8667,113.6333,16.55,62,0,8.47,AU,1686514000
13,kailua-kona,19.6406,-155.9956,27.98,80,40,5.14,US,1686513935
14,bereznik,62.8551,42.7072,6.86,74,78,1.9,RU,1686514000
15,bardai,11.65,7.2333,26.75,64,79,3.49,NG,1686514000
16,nikolayevsk-on-amure,53.1406,140.73,6.46,99,100,1.23,RU,1686513900
17,puerto natales,-51.7236,-72.4875,6.25,65,75,6.69,CL,1686514000
18,bodaybo,57.8506,114.1933,14.69,95,100,1.84,RU,1686514000
19,adamstown,-25.066,-130.1015,20.67,64,1,7.51,PN,1686513852
20,tome acu,-2.4189,-48.1522,26.1,91,50,1.7,BR,1686514000
21,aykhal,66.0,111.5,-0.43,95,100,7.5,RU,1686514000
22,yellowknife,62.456,-114.3525,5.31,93,100,7.72,CA,1686514001
23,ukrainka,50.1432,30.7461,10.63,81,100,6.07,UA,1686514001
24,gaalkacyo,6.7697,47.4308,27.83,60,100,10.18,SO,1686514001
